id;name;date_created;created_by;date_modified;modified_by;shared_workspace
1;charm mathematics;2025-02-20;fervently;2025-02-20;why;true
2;coast gah whoever;2025-02-21;gratefully indeed incidentally;2025-02-20;warp elevation meh;true
3;pillory yuck allocation;2025-02-20;why;2025-02-20;thorough;false
4;dwell t-shirt descent;2025-02-20;that often list;2025-02-20;why;true
5;ferret openly;2025-02-20;and bah apud;2025-02-20;gee;true
6;hundred who maul;2025-02-20;keenly;2025-02-20;uh-huh bustling;false
7;intellect glider blah;2025-02-20;converse without;2025-02-21;honestly painfully;true
8;drag;2025-02-20;oily wherever yearly;2025-02-20;while;false
9;disapprove yahoo;2025-02-21;forgo perp ascertain;2025-02-21;gastropod mmm;false
10;formation husband mentor;2025-02-20;redress;2025-02-21;ring afore;false
