id;name;description;due_date;date_created;created_by;date_modified;modified_by;is_recurring;recurrence_rule;priority;status
1;cute;jaywalk scoff wisely;2025-02-20;2025-02-21;yuck exterior;2025-02-20;industrialize;false;Daily;however till including;Completed
2;assured;dock confute failing;2025-02-21;2025-02-20;hierarchy instead barring;2025-02-20;function likewise for;true;Monthly;bewail;Inprogress
3;quarrelsome;fragrant upon;2025-02-21;2025-02-20;paltry when;2025-02-20;indeed mismatch;false;Weekly;fantastic unless luck;Completed
4;unless by lest;courageously aw anenst;2025-02-20;2025-02-20;since;2025-02-20;given inasmuch;false;Daily;aha inside consequently;Completed
5;nor voluminous well-groomed;ah till hasty;2025-02-21;2025-02-20;um muted authorized;2025-02-20;etch independence;false;Daily;with arcade;Paused
6;who why upon;far-flung;2025-02-20;2025-02-20;dilate outside;2025-02-21;atop summer;false;Weekly;oof unzip;Completed
7;beyond furthermore reluctantly;er till;2025-02-20;2025-02-21;whistle filthy whoever;2025-02-20;pantyhose parallel;true;Weekly;whereas which swat;Completed
8;whose;psst woot;2025-02-21;2025-02-21;aw;2025-02-20;famously;false;Daily;aw whoa robust;Paused
9;drat;hence kindheartedly;2025-02-20;2025-02-20;term sashay unless;2025-02-21;supposing;true;Monthly;cheerfully;Paused
10;energetically;version precedent;2025-02-20;2025-02-20;revoke overtrain duh;2025-02-20;importance;false;Weekly;because though;Inprogress
